year,period,potus,houseOfRep,fedChair
2017,M09,R,R,D
2017,M10,R,R,D
2017,M11,R,R,D
2017,M12,R,R,D
2018,M01,R,R,D
2018,M02,R,R,D
2018,M03,R,R,R
2018,M04,R,R,R
2018,M05,R,R,R
2018,M06,R,R,R
2018,M07,R,R,R
2018,M08,R,R,R
2018,M09,R,R,R
2018,M10,R,R,R
2018,M11,R,R,R
2018,M12,R,R,R
2019,M01,R,R,R
2019,M02,R,D,R
2019,M03,R,D,R
2019,M04,R,D,R
2019,M05,R,D,R
2019,M06,R,D,R
2019,M07,R,D,R
2019,M08,R,D,R
2019,M09,R,D,R
2019,M10,R,D,R
2019,M11,R,D,R
